比尔有9颗弹球,吉姆比比尔少7颗.请问比尔有几颗弹球?
罗斯有8株植物,但有6株死亡.罗斯现在有多少植物?
卡马尔发现了14个球,但有1个球坏了.卡马尔找到了多少个完整的球?
哈里有18棵芒果树,但有12棵死了.哈里现在有多少棵树?
西拉发现了8个贝壳,但有3个被打破了.西拉找到了多少完整的贝壳?
杰瑞找到了10枚炮弹,但有6枚是破的.杰瑞找到了多少完整的贝壳?
纳马尔找到了10个球,但有4个球坏了.纳马尔找到了多少个完整的球?
卡马尔发现了11个芯片,但有8个损坏了.卡马尔找到了多少完整的碎片?
亨利得到了20个鸡蛋,但实际上有10个被损坏了.亨利得到了多少个好鸡蛋?
维姆周一参加了7门考试,但只有5门通过.维姆有多少次考试不及格?
卡米尔在比赛中说了20分钟,但10分钟很糟糕.卡米尔有几分钟表现不错?
维尼塔有10株植物,但实际上有4株已经死亡.维尼塔现在有多少种植物?
卡马尔发现了15枚硬币,但有10枚是假的.卡马尔找到了多少枚硬币?
萨曼有18件衬衫,但有5件损坏了.萨曼现在有几件衬衫?
罗摩发现了8个贝壳,但有5个损坏了.罗摩找到了多少完整的贝壳?
卡马尔发现了20个贝壳,但有6个破碎了.卡马尔找到了多少完整的贝壳?
拉维找到了17个网球,但有14个坏了.拉维找到了多少个完整的网球?
汤姆得到了12个贝壳,但有8个破了.汤姆得到了多少个完整的贝壳?
汤姆得到了12个鸡蛋,但实际上有8个是坏的.汤姆得到了多少个好鸡蛋?
安柏写了8门考试,但通过了4门.安柏有多少次考试不及格?
马赫什讲了2个小时,但浪费了1个小时.马赫什有几分钟的好时光?
马赫什在会议上讲了2个小时,但浪费了45分钟.马赫什有几分钟的好时光?
卡马尔发现了12个数据包,但有8个过期了.卡马尔找到了多少有用的资料?
哈里有15株植物,但12株都死了.哈里现在有多少株植物?
玛丽发现了15只螃蟹,但死了8只.玛丽发现了多少只活螃蟹?
尼马尔找到了8个球,但有4个球坏了.尼马尔找到了多少完整的球?
罗米游得到了11个贝壳,但有10个坏了.罗米游得到了多少个完整的贝壳?
哈里买了12个袋子,但有8个坏了.哈里拿到了多少袋子?
乔治一次考试考了5门,但通过了3门.乔治有多少次考试不及格?
拉尼尔讲了10分钟,但浪费了5分钟.拉尼尔有几分钟的好时间?
艾伯特在他的花园里有8株植物,但5株因洪水而死亡.艾伯特现在有多少植物?
尼马尔找到了12个球,但有2个坏了.尼马尔找到了多少个完整的球?
拉维有16棵芒果树,但有10棵已经死亡.拉维现在有多少棵树?
特里克发现了9个贝壳,但有5个损坏了.特里克找到了多少完整的贝壳?
卡马尔发现了10个贝壳,但有8个破碎了.卡马尔找到了多少完整的贝壳?
伊芙发现了20个网球,但有15个坏了.伊芙找到了多少个完整的网球?
汤姆得到了3个鸡蛋,但实际上有2个坏了.汤姆得到了多少个好鸡蛋?
基里写了9门考试,但通过了5门.基里有多少次考试不及格?
马赫什讲了3个小时,但浪费了2个小时.马赫什有几分钟的好时光?
维姆在会议上讲了2个小时,但浪费了45分钟.维姆有几分钟表现不错?
卡马尔发现了14个包,但有5个过期了.卡马尔找到了多少有用的资料?
哈里有20株植物,但15株都死了.哈里现在有多少株植物?
塞拉发现了10个贝壳,但有5个被打破了.西拉找到了多少完整的贝壳?
尼萨尔发现了11枚炮弹,但有7枚已经破碎.尼萨尔找到了多少完整的炮弹?
纳马尔发现了10头大象,但其中4头很小.纳马尔发现了多少头大型大象?
卡马尔发现了12个芯片,但有9个损坏了.卡马尔找到了多少完整的碎片?
卡亚尔得到了5个鸡蛋,但实际上有4个损坏了.卡亚尔得到了多少个好鸡蛋?
维姆周二考了6门,但通过了3门.维姆有多少次考试不及格?
卡米尔在比赛中讲了50分钟,但10分钟不感兴趣.卡米尔讲了多少分钟?
维尼塔有12株植物,但实际上有5株已经死亡.维尼塔现在有多少种植物?
卡马尔发现了20枚硬币,但有4枚是假的.卡马尔找到了多少枚硬币?
苏尼尔有15件衬衫,但有4件是旧的.苏尼尔现在有多少件新衬衫?
色拉发现了16个贝壳,但有10个损坏了.色拉发现了多少完整的贝壳?
拉杰尼发现了17个贝壳,但有6个坏了.拉杰尼找到了多少完整的贝壳?
兰萨拉发现了19个网球,但有12个坏了.兰萨拉找到了多少个完整的网球?
丹尼尔得到了120个贝壳,但有80个破碎了.丹尼尔拿到了多少个完整的贝壳?
拉维得到了16个鸡蛋,但实际上有9个鸡蛋损坏了.拉维得到了多少个好鸡蛋?
阿迈勒考了12门,但通过了11门.阿迈勒有多少次考试不及格?
拉姆在会议上讲了3个小时,但浪费了1个小时.拉姆有几分钟表现不错?
玛希在会议上讲了5个小时,但浪费了55分钟.玛希有几分钟的好时光?
拉马纳发现了15个包,但有7个过期了.拉玛纳找到了多少有用的东西?
大顺有25株植物,其中13株死亡.大孙现在有多少工厂?
萨姆的银行里有9角,他爸爸给了他7角.萨姆现在有多少10美分了?
萨姆的银行里有10角,他爸爸给了他8角.萨姆现在有多少10美分了?
罗茜的包里有9个苹果,妈妈又给了她7个.罗茜现在有多少个苹果?
卡马尔银行里有900卢比,他父亲给了他1700卢比.卡马尔现在有多少卢比?
萨姆的银行里有9角,他的朋友给了他10角.萨姆现在有多少10美分了?
安妮塔的包里有10个气球,她的朋友给了她10个气球.安妮塔现在有多少个气球?
罗西塔包里有12块蛋糕,她妈妈给了她7块蛋糕.罗西塔现在有多少块蛋糕了?
罗西塔的包里有12块蛋糕,她妈妈给了他7块蛋糕.罗西塔现在有多少块蛋糕?
阿迈勒的书桌里有15本书,他的父亲给他留了7本书.阿迈勒的书桌里现在有多少本书?
卡玛拉的书桌里有20本书,她母亲给她留了10多本书.卡玛拉的书桌里现在有多少本书?
拉贾的包里有9颗弹珠,他的朋友给了他6颗.拉贾现在有多少弹珠了?
萨姆的银行里有8个一角,他妈妈又给了他7个一角.萨姆现在有多少10美分了?
玛丽的桌子里有10个芒果,她妈妈又给了她6个.玛丽现在有多少个芒果?
卡马尔银行里有800美元,他爸爸又给了他1700美元.卡马尔现在有多少美元?
拉维家里有6个球,他的朋友给了他10个球.拉维现在有几个球了?
卡玛拉包里有10英镑,她的朋友又给了她30英镑.卡玛拉现在有多少磅了?
罗西塔包里有10块蛋糕,她妈妈给了她11块额外的蛋糕.罗西塔现在有多少块蛋糕了?
罗西塔的包里有10块蛋糕,她妈妈给了他6块蛋糕.罗西塔现在有多少块蛋糕?
苏西尔包里有12本书,他爸爸又给了他7本书.苏西尔的书包里现在有几本书?
尼玛拉的书桌里有11本书,她妈妈给她留了9本书.尼玛拉的书桌里现在有多少本书?
阿迈勒银行里有8枚硬币,他爸爸给了他7枚.阿迈勒现在有多少个硬币?
里兹维的银行里有11个角他爸爸给了他8个角.里兹维现在有多少10美分了?
露丝的包里有9颗葡萄,她妈妈又给了她3颗.露丝现在有多少颗葡萄?
苏苏马尔在银行里有9000卢比,他爸爸给了他1700卢比.苏苏马尔现在有多少卢比?
萨姆在他的银行里有18个角,他的朋友给了他10个角.萨姆现在有多少10美分了?
阿贾的包里有10个气球,她的朋友给了她20个气球.阿贾现在有多少个气球?
迈克尔包里有11块蛋糕,她的朋友给了她7块蛋糕.迈克尔现在有多少块蛋糕?
罗西塔的包里有3块蛋糕,她妈妈给了她12块蛋糕.罗西塔现在有多少块蛋糕?
维姆的车里有15本书,他爸爸给他留了7本书.维姆现在车里有几本书?
卡玛拉的书桌里有20本书,她母亲又给她留了12本书.卡玛拉的书桌里现在有多少本书?
山姆在银行有9个账户他爸爸又给他开了2个账户.山姆现在有多少个账户?
尼马尔的银行里有20角他爸爸给了他8角.尼马尔现在有多少10美分了?
维斯瓦的袋子里有10个苹果,她妈妈又给了她7个.维斯瓦现在有多少个苹果?
卡马尔银行里有1900卢比,他父亲给了他700卢比.卡马尔现在有多少卢比?
卡吾亚在他的银行有9个账户,她的朋友开了10个账户.卡吾亚现在有多少个账户?
莫尼萨的包里有两本书,她的朋友又给了她两本书.莫尼萨现在有多少本书?
罗西塔包里有11块蛋糕,她妈妈给了她8块蛋糕.罗西塔现在有多少块蛋糕?
罗西塔包里有12块蛋糕,她妈妈给了她5块蛋糕.罗西塔现在有多少块蛋糕?
维姆的书桌里有10本书,他爸爸给他留了7本书.维姆的书桌里现在有多少本书?
马修的行李里有20本书,他的母亲给她留了10本书.马修的行李里现在有几本书?
拉维在银行有9笔存款他爸爸又给了他7笔.拉维现在有多少存款?
萨姆的包里有10个角,他爸爸给了他8个角.萨姆现在有多少10美分了?
卡梅拉的袋子里有6个新鲜苹果,她的妈妈又给了她7个.卡梅拉现在有多少个苹果?
卡马尔银行里有900欧元他爸爸给了他1700欧元.卡马尔现在有多少欧元?
穆拉里的口袋里有9片,他的朋友给了他10片.穆拉里现在有多少平板电脑?
安妮塔的包里有10颗太妃糖,她的朋友又给了她10颗.安妮塔现在有多少太妃糖?
罗西塔包里有12块蛋糕,她的朋友给了她4块蛋糕.罗西塔现在有多少块蛋糕了?
罗西塔包里有20块巧克力,她妈妈给了他8块巧克力.罗西塔现在有多少巧克力?
阿迈勒的书桌里有15本物理书,他父亲给他留了7本物理书.阿迈勒的书桌里现在有多少本书?
尼马尔拉的书桌里有20本书,她妈妈给她留了10本书.尼马尔拉的书桌里现在有多少本书?
普贾的钱包里有10枚硬币,她的朋友给了6枚.普贾现在有多少个硬币?
萨姆的银行里有10个一角硬币,他妈妈又给了他8个一角硬币.萨姆现在有多少10美分了?
罗沙尼的桌子里有12个芒果,她的妈妈又给了她4个.罗沙尼现在有多少个芒果?
卡马尔银行里有800英镑,他爸爸又给了他1700英镑.卡马尔现在有多少磅了?
拉维家里有10个网球,他的朋友给了他10个网球.拉维现在有多少个网球?
梅里的包里有10英镑,她的朋友又给了她30英镑.梅里现在有多少磅了?
罗西塔包里有10块饼干,她妈妈多给了她11块饼干.罗西塔现在有多少块饼干?
罗西塔的包里有15块蛋糕,她妈妈给了他8块蛋糕.罗西塔现在有多少块蛋糕?
苏西尔的书桌里有12本书,他爸爸又给了他8本书.苏西尔的书包里现在有几本书?
维玛拉的书桌里有11本书,她的妈妈给她留了9本书.维玛拉的书桌里现在有多少本书?
卫斯理在银行有9笔存款,他爸爸又给他开了7笔.韦斯利现在有多少积蓄?
萨姆的包里有15个一角硬币,他妈妈又给了他7个一角硬币.萨姆现在有多少10美分了?
拉梅拉的袋子里有8个新鲜苹果,妈妈又给了她4个.拉梅拉现在有多少个苹果?
卡马尔银行里有90欧元,他爸爸给了他170欧元.卡马尔现在有多少欧元?
维拉特口袋里有9颗糖果,他的朋友给了他10颗糖果.维拉特现在有多少糖果?
珍妮塔的包里有15颗太妃糖,她的朋友又给了她9颗.珍妮塔现在有多少太妃糖?
罗西塔包里有11块蛋糕,她的朋友又给了她5块蛋糕.罗西塔现在有多少块蛋糕了?
特里克的包里有15块巧克力,他妈妈又给了他9块巧克力.特里克现在有多少巧克力?
沙姆的书桌里有5本化学书,他的爸爸给他留了7本化学书.沙姆的书桌里现在有多少本书?
尼马尔拉的书桌里有18本书,她的妈妈给她留了9本书.尼马尔拉的书桌里现在有多少本书?
韦斯利的钱包里有11个硬币,他的朋友给了8个硬币.韦斯利现在有多少枚硬币?
萨姆的银行里有11个10美分,他妈妈又给了他9美分.萨姆现在有多少10美分了?
罗沙尼的桌子里有12份文件,她的母亲又给了她4份文件.罗沙尼现在有多少文件了?
萨马尔银行里有600英镑,他爸爸又给了他1800英镑.萨马尔现在有多少磅了?
卡维家里有6个球,他的朋友给了他9个网球.卡维现在有几个球了?
梅里的包里有6英镑,她的朋友又给了她20英镑.梅里现在有多少磅了?
罗西塔包里有8块饼干,她妈妈给了她9块额外的饼干.罗西塔现在有多少块饼干?
卡薇莎的包里有20块蛋糕,她妈妈给了他9块蛋糕.卡薇莎现在有多少块蛋糕?
苏西尔的书桌里有16本书,他爸爸又给了他7本书.苏西尔的书包里现在有几本书?
埃维的书桌里有12本小说,她妈妈给她留了7本.埃维现在有多少本书在她的书桌里?
拉维在银行有11笔存款他妈妈又给了他8笔.拉维现在有多少存款?
卡米尔包里有15个角,他爸爸给了他10个角.卡米尔现在有几角了?
尼马尔的袋子里有8个新鲜的橘子,她的妈妈又给了她5个苹果.尼马尔现在有多少个苹果?
卡马尔银行里有250欧元他爸爸给了他1800欧元.卡马尔现在有多少欧元?
萨姆口袋里有10片药,他的朋友又给了他10片.萨姆现在有多少平板电脑?
安妮塔的包里有10颗糖果,她的朋友又给了她10颗糖果.安妮塔现在有多少糖果?
罗西塔包里有11块蛋糕,她的朋友给了她8块蛋糕.罗西塔现在有多少块蛋糕了?
罗西塔的包里有25块牛奶巧克力,她妈妈给了他8块牛奶巧克力.罗西塔现在有多少牛奶巧克力?
阿迈勒的书桌里有18本物理书,他爸爸给他留了9本物理书.阿迈勒的书桌里现在有多少本书?
尼马尔拉的书桌里有18本书,她的妈妈给她留了4本书.尼马尔拉的书桌里现在有多少本书?
拉贾在银行有15笔存款,他母亲又给了他20笔.拉贾现在有多少存款?
汤姆的包里有25美分,他哥哥给了他5美分.汤姆现在有多少10美分的硬币?
瑞塔的袋子里有45个新鲜苹果,她的姐姐又给了她8个.瑞塔现在有多少个苹果?
鲁维尼在银行有500欧元存款,她母亲给了她700欧元.鲁威尼现在有多少欧元?
拉杰口袋里有12片他的朋友给了他3片.拉杰现在有多少平板电脑?
德努卡的包里有100块巧克力,她的朋友又给了她5块巧克力.德努卡现在有多少巧克力?
罗斯包里有5块蛋糕,她哥哥给了她14块蛋糕.罗斯现在有多少块蛋糕?
卡马里包里有2块巧克力,她妈妈给了她8块巧克力.卡马里现在有多少巧克力了?
罗山的书桌里有5本物理书,他的朋友又给他留了7本物理书.罗山的书桌里现在有多少本书?
拉克马里的书桌里有17本书,她父亲给她留了5本书.拉克马里的书桌里现在有多少本书?
抽屉里有7支蜡笔,玛丽从抽屉里拿出了3支蜡笔.现在有多少支蜡笔?
袋子里有8颗弹珠,玛丽从抽屉里拿了3颗弹珠.现在有多少玻璃球了?
地上有10个球,阿迈勒从抽屉里拿出了5个球.现在有多少个球?
动物园里有11只动物,动物园管理员把3只动物带出了动物园.现在有多少动物?
抽屉里有12支蜡笔,维姆把3支蜡笔扔到了外面.现在有多少支蜡笔?
袋子里有7顶帽子,苏尼尔从袋子里拿出了6顶帽子.现在有多少顶帽子?
车上有18个座位,乘客弄坏了3个座位.现在有多少座位?
行李中有14支乐队,卡马尔从行李中取出了3支乐队.现在有多少个乐队?
笼子里有16只兔子,哈沙从笼子里买了3只.现在有多少只兔子?
动物园里有13个笼子,园长禁止了3个笼子.现在有多少个笼子?
抽屉里有10个夹子,玛丽从抽屉里拿出了8个夹子.现在有多少个夹子?
袋子里有3颗弹珠,玛丽从抽屉里拿了2颗弹珠.现在有多少玻璃球了?
地上有12个黑球,阿迈勒从抽屉里拿出了5个黑球.现在有多少个球?
笼子里有13只动物,动物园管理员把3只动物从笼子里拿了出来.现在笼子里有多少只动物?
袋子里有12顶帽子,卡马尔从袋子里拿出了8顶帽子.现在有多少顶帽子?
车上有10个空座位,乘客们坐了3个座位.现在有多少空位?
笼子里有15只鹦鹉,尼马尔从笼子里买了3只鹦鹉.现在有多少只鹦鹉?
房间里有9个笼子,斯利瓦从房间里拿走了6个笼子.现在有多少个笼子?
抽屉里有17支蜡笔,玛丽从抽屉里拿出了13支.现在有多少支蜡笔?
丛林里有8棵树,玛丽砍了3棵.现在丛林里有多少棵树?
地上有9个球,阿迈勒从抽屉里拿出了4个球.现在有多少个球?
动物园里有13只猴子,动物园管理员把3只猴子带出了动物园.现在有多少只猴子?
袋子里有11支蜡笔,维姆把3支蜡笔扔到了外面.现在袋子里有多少支蜡笔?
账户中有7封邮件,苏尼尔删除了6封邮件.现在有多少封邮件?
火车上有15个座位,乘客预订了3个座位.现在有多少座位?
行李里有12个杯子,米拉从行李里拿出了3个杯子.现在有多少个杯子?
笼子里有2只兔子,哈沙从笼子里买了1只.现在有多少只兔子?
动物园里有10个笼子,警察禁止3个笼子.现在有多少个笼子?
抽屉里有17支钢笔,玛丽从抽屉里拿出了5支.现在有多少支钢笔?
袋子里有10个瓶子,玛丽从抽屉里拿了3个瓶子.现在有多少个瓶子?
教室里有9个球,阿迈勒从教室里拿了5个球.现在有多少个球?
抽屉里有10支蜡笔,维姆把5支蜡笔扔到了外面.现在有多少支蜡笔?
桌子里有7顶帽子,苏尼尔从桌子上拿了6顶帽子.现在有多少顶帽子?
火车上有20个座位,乘客已经弄坏了3个座位.现在有多少座位?
行李里有12个杯子,拉维从行李里拿出了4个杯子.现在有多少个杯子?
笼子里有15只鹦鹉,哈沙从笼子里买了3只.现在有多少只鹦鹉?
动物园里有12个笼子,园长禁止6个笼子.现在有多少个笼子?
抽屉里有8支铅笔,玛丽从抽屉里拿出了3支铅笔.现在有多少支铅笔?
书包里有9支钢笔,帕梅拉从书包里拿出了4支钢笔.现在有多少支钢笔?
地上有11个球,尼马尔从地上拿了5个球.现在有多少个球?
动物园里有11只老虎,动物园管理员把3只老虎带出了动物园.现在有多少只老虎?
抽屉里有9支蜡笔,维姆把3支蜡笔扔到了外面.现在有多少支蜡笔?
袋子里有7件外套,苏尼尔从袋子里拿出了6件外套.现在有多少件外套?
飞机上有155个座位,乘客弄坏了3个座位.现在有多少座位?
船上有14辆车,陆军从船上带走了3辆车.现在有多少艘船?
笼子里有12只猫,哈沙从笼子里拿了3只猫.现在有多少只猫?
动物园里有11个笼子,园长禁止4个笼子.现在有多少个笼子?
抽屉里有17块橡胶,玛丽从抽屉里拿出了5块橡胶.现在有多少橡胶?
袋子里有9个瓶子,玛丽从抽屉里拿出了4个瓶子.现在有多少个瓶子?
教室里有9个球,阿迈勒从教室里拿了6个球.现在有多少个球?
动物园里有10头大象,动物园管理员把3头大象带出了动物园.现在有多少头大象?
抽屉里有12支蜡笔,维姆往外面扔了6支蜡笔.现在有多少支蜡笔?
橱柜里有13顶黑色的帽子,苏尼尔从橱柜里拿了6顶.现在有多少顶帽子?
飞机上有300个座位,乘客们已经预订了250个座位.现在还剩几个座位?
笼子里有15只孔雀,塔尼亚从笼子里买了3只.现在有多少只孔雀?
动物园里有8个笼子,园长禁止6个笼子.现在有多少个笼子?
抽屉里有9支铅笔,玛丽从抽屉里拿出了4支铅笔.现在有多少支铅笔?
桌子里有8支钢笔,苏尼尔从桌子上拿了4支.现在有多少支钢笔?
地上有12个篮球,尼马尔从地上拿了5个篮球.现在有多少个篮球?
抽屉里有6支蜡笔,艾伯特把3支蜡笔扔到了外面.现在有多少支蜡笔?
袋子里有7个铃铛,苏尼尔从袋子里拿出了6个铃铛.现在有多少钟?
飞机上有230个座位,乘客弄坏了7个座位.现在有多少座位?
空中有20架飞机,恐怖分子击落了3架飞机.现在有多少架飞机?
笼子里有11只猫,哈沙从笼子里拿出了4只猫.现在有多少只猫?
动物园里有11个笼子,喀麦隆禁止5个笼子.现在有多少个笼子?
抽屉里有15个球,玛丽从抽屉里拿出了5个球.现在有多少个球?
袋子里有10个瓶子,玛丽从抽屉里拿出了5个瓶子.现在有多少个瓶子?
袋子里有9个球,阿迈勒从袋子里拿出了6个球.现在有多少个球?
动物园里有10只猴子,动物园管理员把4只猴子带出了动物园.现在有多少只猴子?
抽屉里有12支蜡笔,维姆往外面扔了7支蜡笔.现在有多少支蜡笔?
橱柜里有14顶红色的帽子,尼马尔从橱柜里拿走了5顶帽子.现在有多少顶红帽子?
飞机有430个座位,乘客们已经预订了400个座位.现在还剩几个座位?
行李里有15个杯子,拉维从行李里拿出了6个杯子.现在有多少个杯子?
笼子里有15只母鸡,塔尼亚从笼子里买了4只.现在有多少只母鸡?
动物园里有9个笼子,园长禁止5个笼子.现在有多少个笼子?
抽屉里有20块橡胶,玛丽从抽屉里拿出了9块橡胶.现在有多少橡胶?
书包里有9块橡皮,玛丽从抽屉里拿出了4块橡皮.现在有多少块橡皮?
教室里有10个球,阿迈勒从教室里拿了8个球.现在有多少个球?
动物园里有12头大象,动物园管理员把4头大象带出了动物园.现在有多少头大象?
抽屉里有11支蜡笔,维姆往外面扔了7支蜡笔.现在有多少支蜡笔?
橱柜里有12顶黑色的帽子,苏尼尔从橱柜里拿了7顶.现在有多少顶帽子?
飞机上有400个座位,乘客已经预订了315个座位.现在还剩几个座位?
盘子里有11个杯子,拉维从盘子里拿了4个杯子.现在有多少个杯子?
笼子里有13只猴子,塔尼亚把3只猴子赶出了笼子.现在有多少只猴子?
抽屉里有25块橡胶,马修从抽屉里拿出了15块橡胶.现在有多少橡胶?
袋子里有18个瓶子,马拉从抽屉里拿出了4个瓶子.现在有多少个瓶子?
教室里有15个球,拉维从教室里拿了9个球.现在有多少个球?
动物园里有15头狮子,动物园管理员从动物园里带走了3头狮子.现在有多少只狮子?
抽屉里有8支蜡笔,维鲁把5支蜡笔扔到了外面.现在有多少支蜡笔?
橱柜里有5顶黑色的帽子,萨曼从橱柜里拿了2顶.现在有多少顶帽子?
飞机上有100个座位,乘客们已经预订了50个座位.现在还剩几个座位?
行李里有18个杯子,拉贾从行李里拿出4个杯子.现在有多少个杯子?
笼子里有5只孔雀,塔拉从笼子里买了3只孔雀.现在有多少只孔雀?
动物园里有80个笼子,园长禁止25个笼子.现在有多少个笼子?
丹摘了9个青柠,给了萨拉4个.丹现在有多少青柠?
维姆买了10块蛋糕,给了尼马尔其中的6块.维姆现在有多少块蛋糕?
罗茜拿了20个苹果,给了罗茜塔4个.罗茜现在有多少个苹果?
丹摘了20个青柠,给了萨拉8个.丹现在有多少酸橙?
阿迈勒买了12张票,给了尼马尔其中的5张.阿迈勒现在有几张票?
哈里挣了90卢比,给了玛丽其中的4卢比.玛丽现在有多少卢比?
苏尼尔买了19个袋子,给了萨拉 4个.苏尼尔现在有多少包?
阿迈勒买了10张票,给了尼马尔其中的6张.阿迈勒现在有几张票?
尼马尔安装了9个程序,删除了4个.尼马尔现在有多少个项目?
哈希莎做了20个午餐包,给了玛拉希12个.哈希莎现在有多少午餐包?
苏尼尔摘了9个青柠,给了萨拉4个.苏尼尔现在有多少酸橙?
卡里姆买了10个蛋糕,给了尼马尔其中的6个.卡里姆现在有多少块蛋糕了?
罗斯拿了20个苹果,给了他4个,现在罗斯有多少个苹果?
尼兰摘了20个橘子,给了萨拉其中的8个.尼兰现在有多少个橘子?
纳马尔买了12张票,给了尼马尔其中的3张.纳马尔现在有几张票?
查里斯赚了10卢比,给了那壬其中的4卢比.查里斯现在有多少卢比?
苏尼尔买了6个盘子,给了萨拉3个.苏尼尔现在有多少个盘子?
赛罕买了11张票,给了穆拉里其中的6张.赛罕现在有几张票?
萨利姆安装了10个程序,删除了其中7个.萨利姆现在有多少个项目?
哈希莎准备了30个午餐包,给了玛拉蒂8个.哈希莎现在有多少个午餐包?
丹摘了9颗葡萄,给了萨拉4颗.丹现在有多少葡萄?
尼马尔买了10块饼干,给了维姆其中的6块.尼马尔现在有多少饼干?
科萨拉拿了20个苹果,给了罗西塔其中的4个.科萨拉现在有多少个苹果?
丹摘了18个青柠,给了萨拉10个.丹现在有多少青柠?
莱恩买了12张票,给了赞恩其中的8张.莱恩现在有几张票?
哈里挣了100卢比,给了玛丽其中的40卢比.玛丽现在有多少卢比?
苏尼尔买了15个袋子,给了萨拉14个.苏尼尔现在有多少包?
阿迈勒买了10个菠萝,给了尼马尔其中的6个.阿迈勒现在有多少个菠萝?
尼马尔安装了19个程序,删除了14个.尼马尔现在有多少个项目?
麦格娜做了20个午餐包,给了玛拉茜12个.麦格娜现在有多少午餐包?
姗摘了19个青柠给了萨拉4个.姗现在有多少青柠?
苏尼尔买了12块蛋糕,给了尼马尔其中的6块.苏尼尔现在有多少块蛋糕?
卡马尔拿了20块糖果,给了罗西塔4块.卡马尔现在有多少糖果?
丹摘了18个苹果,给了萨拉10个.丹现在有多少个苹果?
尼兰订了11张票,给了尼马尔其中的5张.尼兰现在有几张票?
玛丽挣了100卢比,给了玛丽其中的40卢比.玛丽现在有多少卢比?
尼马尔买了19个袋子,给了萨拉14个.尼马尔现在有多少包?
维姆买了10张票,给了尼马尔其中的9张.维姆现在有几张票?
尼马尔安装了9个程序,删除了其中4个.尼马尔现在有多少个项目?
哈希莎做了10个午餐包,给了玛拉茜2个.哈希莎现在有多少午餐包?
丹摘了10个酸橙,给了萨拉5个.丹现在有多少酸橙?
维姆买了10根香蕉,给了尼马尔其中的6根.维姆现在有多少香蕉?
玛丽拿了21个苹果,给了罗斯4个.罗斯现在有多少个苹果?
温斯顿摘了15个青柠,给了莎拉8个.温斯顿现在有多少酸橙了?
阿迈勒买了12张机票,给了尼马尔其中的5张.阿迈勒现在有几张机票?
维萨赚了90美元,给了玛丽其中的4美元.维萨现在有多少美元?
阿尼尔买了15个袋子,给了萨拉其中的4个.阿尼尔现在有多少包?
阿迈勒买了12张票,给了尼马尔其中的8张.阿迈勒现在有几张票?
尼马尔在他的电脑里安装了8个程序,并删除了其中的4个.尼马尔现在有多少个项目?
哈希莎买了20罐,给了玛拉茜10罐.哈希莎现在有多少罐了?
姗摘了18个青柠,给了萨拉9个.姗现在有多少酸橙?
苏尼尔买了11个面包,给了尼马尔其中的6个.苏尼尔现在有多少个面包?
卡马尔拿了20包果汁,给了罗西塔4包.卡马尔现在有多少果汁包?
纳伦摘了18颗葡萄,给了萨拉10颗.纳伦现在有多少葡萄?
卡亚尔订了10张票,给了尼马尔其中的5张.卡亚尔现在有多少张票?
维拉特赚了100美元,给了萨钦其中的40美元.维拉特现在有多少美元?
维姆买了20个袋子,给了萨拉16个.维姆现在有多少包?
尼马尔买了8本书,给了尼马尔其中的9本书.尼马尔现在有多少本书?
安安装了10个程序,删除了4个.安现在有多少个项目?
哈希莎做了11个午餐包,给了玛拉蒂其中的3个.哈希莎现在有多少午餐包?
姗摘了20个青柠,给了萨拉14个.姗现在有多少酸橙?
西拉买了12个蛋糕,给了尼马尔其中的6个.西拉现在有多少蛋糕?
卡马尔拿了15颗糖,给了罗西塔8颗.卡马尔现在有多少糖果?
达伦摘了18个梨给了萨拉.达伦现在有多少个梨?
尼兰订了12张票,给了尼马尔其中的6张.尼兰现在有几张票?
罗西得到了100卢比,给了玛丽其中的40卢比.玛丽现在有多少卢比?
尼马尔买了20个袋子,给了萨拉其中的8个.尼马尔现在有多少袋子?
杰瑞买了10张火车票,给了尼马尔其中的9张.杰瑞现在有几张票?
尼马尔安装了10个程序,删除了其中5个.尼马尔现在有多少个项目?
哈希莎做了9个午餐包,给了玛拉茜7个.哈希莎现在有多少午餐包?
姗摘了15个青柠给了萨拉7个.姗现在有多少酸橙?
尼马尔买了11块饼干,给了尼马尔其中的8块.尼马尔现在有多少个面包?
维姆拿了15包果汁,给了罗西塔5包.维姆现在有多少果汁包?
纳伦摘了20颗葡萄,给了萨拉11颗.纳伦现在有多少葡萄?
维姆订了9张票,给了尼马尔其中的5张.维姆现在有几张票?
尼马兰赚了100美元,给了萨钦其中的40美元.尼马兰现在有多少美元?
维姆买了15个袋子,给了莎拉其中的8个.维姆现在有多少包?
尼马尔买了9本书,给了尼马拉其中的9本书.尼马尔现在有多少本书?
萨曼安装了11个程序,删除了5个.萨曼现在有多少个程序?
尼兰做了12个午餐包,给了马拉兮其中的3个.尼兰现在有多少个午餐包?
纳林摘了11个青柠,给了萨拉9个.纳林现在有多少酸橙?
维姆买了12个橘子,给了尼马尔其中的5个.维姆现在有多少个橘子?
汤姆拿了18个苹果,给了罗西塔5个.汤姆现在有多少个苹果?
阿迈勒买了14张机票,给了尼马尔其中的4张.阿迈勒现在有几张机票?
库萨尔赚了91美元,给了玛丽61美元.库萨现在有多少美元?
凯文买了6个袋子,给了萨拉2个.凯文现在有多少个包?
阿迈勒买了11张票,给了尼马尔其中的7张.阿迈勒现在有几张票?
